S/N,Designator*,Quantity*,Manufacturer Part Number*,Manufacturer,"Package
/Footprint",Description
1,"D3,D4",2,1N5819W,晶导微电子,SOD-123F_L2.8-W1.8-LS3.7-RD,1N5819W
2,C1,1, , ,C0603,4.7u
3,"C5,C13,C14,C19",4, , ,C0603,1u
4,"C12,C4",2,CA45-A-16V-10uF-K,CEC(振华新云),CAP-SMD_L3.2-W1.6-RD,4.7u
5,U10,1,LTC2954ITS8-1#TRPBF,ADI(亚德诺)/LINEAR(凌特),TSOT-23-8_L2.9-W1.6-P0.65-LS2.8-BL,LTC2954ITS8-1#TRPBF
6,"R20,R6,R7,R9,R10",5, , ,R0603,100k
7,"C2,C9,C28",3, , ,C0603,2.2u
8,"C6,C20",2, , ,C0603,10u
9,"C7,C10,C15,C16,C17,C21,C27",7, , ,C0603,0.1u
10,"C11,C26",2, , ,C0603,10n
11,C3,1,GCM033C71A104KE02D,muRata(村田),C0201,100n
12,C8,1,GCM033C71A104KE02D,muRata(村田),C0201,1u
13,C22,1,TCC0603X5R105K500CT,CCTC(三环),C0603,22u
14,H1,1,A2541WR-4P,CJT(长江连接器),HDR-TH_4P-P2.54-H-M-W10.3,A2541WR-4P
15,L1,1,BLM18KG121TN1D,muRata(村田),L0603,120Ω±25%
16,"LED1,LED2",2,19-213/R6C-AP1Q2B/5T,EVERLIGHT(亿光),LED0603-FD,19-213/R6C-AP1Q2B/5T
17,M1,1,LD0832AA-0126F,LEADER(立得),MD-SMD_2P-LD0832AA-0126F,LD0832AA-0126F
18,"P1,P2",2, , ,HDR-TH-2P-P2.54-V-R02-C01,CONN-TH_2P-P5.00
19,"R1,R2",2, , ,R0603,5.1k
20,"R3,R11,R17,R19",4, , ,R0603,22Ω
21,"R4,R5,R14,R16",4, , ,R0603,10k
22,R8,1, , ,R0603,5k
23,"R12,R13",2, , ,R0603,2.7k
24,"R15,R18",2, , ,R0603,1k
25,"SW1,SW2",2,TS-1088-AR02026,XUNPU(讯普),SW-SMD_L3.9-W3.0_TS-1088-AR02026,TS-1088-AR02026
26,U1,1,ESP32-S3-MINI-1-N8,ESPRESSIF(乐鑫),BULETM-SMD_ESP32-S3-MINI-1-N8,ESP32-S3-MINI-1-N8
27,U2,1,TLV75533PDBVR,TI(德州仪器),SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,TLV75533PDBVR
28,"U4,U5",2,ICM-42688-P,TDK InvenSense(应美盛),LGA-14_L3.0-W2.5-P0.50-TL,ICM-42688-P
29,U6,1,MCP73831T-2ACI/OT,MICROCHIP(美国微芯),SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,MCP73831T-2ACI/OT
30,U7,1,DRV2605LDGSR,TI(德州仪器),VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,DRV2605LDGSR
31,U8,1,MMC5983MA,MEMSIC(美新),LGA-16_L3.0-W3.0-P0.50-BL_SQ,MMC5983MA
32,U9,1,DSK321STD-32.768Khz,null,OSC-SMD_4P-L3.2-W2.5-BL-1,DSK321STD-32.768KHZ
33,USB1,1,HC-TYPE-C-16P-01A,HCTL(华灿天禄),USB-C-SMD_HC-TYPE-C-16P-01A,HC-TYPE-C-16P-01A
